ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_cell,Metadata_cell,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_dish,Metadata_hour,Metadata_hour,Metadata_hour,Metadata_site,Metadata_site,Metadata_treatment,Metadata_treatment,Metadata_treatment
27,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
27,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
28,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,10,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,11,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,12,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,13,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,14,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
28,15,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,5,5,Dac,Dac,Dac
29,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,10,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,11,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,12,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
29,13,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,6,6,Dac,Dac,Dac
