Metadata_hour,Metadata_treatment,Ed
4,dac,0.152108881
4,dac,0.146548983
4,dac,0.29413982
4,dac,0.298503364
4,dac,0.136979791
4,dac,0.290465111
4,dac,0.300280496
4,dac,0.415318154
4,dac,0.217354709
4,dac,0.241866567
4,dac,0.209558357
4,dac,0.164209531
4,dac,0.186110673
4,dac,0.173565704
4,dac,0.181059573
4,dac,0.367442687
4,dac,0.341302337
4,dac,0.204003853
4,dac,0.255006846
4,dac,0.236109717
4,dac,0.346469973
4,dac,0.303709435
4,dac,0.268636083
4,dac,0.18687682
4,dac,0.205516838
4,dac,0.221050514
4,dac,0.149363992
4,dac,0.160605057
4,dac,0.087385558
4,dac,0.082456387
4,dac,0.086435294
4,dac,0.218759618
4,dac,0.23693922
4,dac,0.250279384
4,dac,0.215226688
4,dac,0.19530864
4,dac,0.27037177
4,dac,0.244128159
4,dac,0.173073326
4,dac,0.146054342
4,dac,0.264430887
4,dac,0.18090145
4,dac,0.112725918
4,dac,0.124046103
4,dac,0.134989376
4,dac,0.155686141
4,dac,0.192785615
4,dac,0.190818355
4,dac,0.212591037
4,dac,0.226261552
4,dac,0.092537892
4,dac,0.091112684
4,dac,0.092537892
4,dac,0.091112684
4,dac,0.044451829
4,dac,0.042754442
4,dac,0.050317058
4,dac,0.36024445
4,dac,0.434171923
4,dac,0.024806851
4,dac,0.029622066
4,dac,0.021883917
4,dac,0.015417787
4,dac,0.03632001
4,osi,0.098616968
4,osi,0.088020565
4,osi,0.085323305
4,osi,0.098114281
4,osi,0.100671658
4,osi,0.089484452
4,osi,0.096868391
4,osi,0.062351905
4,osi,0.094307678
4,osi,0.080204137
4,osi,0.067322723
4,osi,0.048445381
4,osi,0.035545859
4,osi,0.027738608
4,osi,0.038892554
4,osi,0.016840127
4,osi,0.120079811
4,osi,0.161262017
4,osi,0.128339817
4,osi,0.153179046
4,osi,0.152621454
4,osi,0.156270911
4,osi,0.104633313
4,osi,0.16770256
4,osi,0.171859337
4,osi,0.120848959
4,osi,0.106495671
4,osi,0.067038451
4,osi,0.056644777
4,osi,0.043528616
4,osi,0.157916864
4,osi,0.195101797
4,osi,0.220023878
4,osi,0.237679843
4,osi,0.231992053
4,osi,0.340878245
4,osi,0.25233485
4,osi,0.171652565
4,osi,0.174742168
4,osi,0.178091927
4,osi,0.085940595
4,osi,0.084969863
4,osi,0.076232527
4,osi,0.070081984
4,osi,0.054506817
4,osi,0.065070689
4,osi,0.04659147
4,osi,0.048241238
4,osi,0.055521298
4,osi,0.053893137
4,osi,0.182812096
4,osi,0.222161156
4,osi,0.313569657
4,osi,0.31710796
4,osi,0.086664486
4,osi,0.076316913
