Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
H1975,4.0,GEF,12,2,60.0,1,0.3052855134010315,2.110493898391724,0.8356306552886963,0.74854213,False,0.24969081437829735,0.0
H1975,4.0,GEF,12,2,60.0,2,0.1697777211666107,0.7970548868179321,0.8926936388015747,0.98723745,False,0.16322050066505076,0.0
H1975,4.0,GEF,13,2,60.0,1,0.1360220164060592,0.5398601293563843,0.937035083770752,0.9480641,False,0.12901725540889675,0.0
H1975,4.0,GEF,13,2,60.0,2,0.162068709731102,0.863024890422821,0.8941808938980103,0.9674052,False,0.17047177485831608,0.0
H1975,4.0,GEF,13,2,60.0,3,0.1917563825845718,1.956121563911438,0.8937739133834839,0.7391822,False,0.24351256196884033,0.0
H1975,4.0,GEF,14,2,60.0,1,0.2211349308490753,1.610446214675903,0.9668144583702089,0.96027017,False,0.22702793249249584,0.0
H1975,4.0,GEF,14,2,60.0,2,0.1530157476663589,1.1908862590789795,0.5449349880218506,0.6029346,True,0.11670284135922442,0.08332860323311032
H1975,4.0,GEF,15,2,60.0,1,0.1078799590468406,0.7433841228485107,0.6489099264144897,0.79455894,True,0.0959914076923871,0.06092487577202475
H1975,4.0,GEF,15,2,60.0,2,,,,0.87978196,False,,
H1975,4.0,GEF,15,2,60.0,3,0.0762525424361229,0.3769921064376831,0.8324085474014282,0.84811664,True,0.06579236639850207,0.03495846181646406
H1975,4.0,GEF,15,2,60.0,4,0.1135098859667778,0.6290950775146484,0.7064633369445801,0.9817397,True,0.08840607986522533,0.05370164099203628
H1975,4.0,GEF,16,2,60.0,1,0.1210271418094635,0.4560186564922333,0.8425837755203247,0.8675449,False,0.11525598579446295,0.0
H1975,4.0,GEF,16,2,60.0,2,0.1150166317820549,0.8322374224662781,0.4645945727825165,0.96048796,True,0.10108861713606018,0.0660640497139299
H1975,4.0,GEF,17,2,60.0,1,0.0429017432034015,0.2906732857227325,-0.1664164662361145,0.947513,True,0.0553085232219557,0.027568972058398908
H1975,4.0,GEF,17,2,60.0,2,0.1053851172327995,0.7699884176254272,0.8226526379585266,0.81950665,True,0.09758379671020061,0.06250523826003966
H1975,4.0,GEF,17,2,60.0,3,0.2419471740722656,1.415455341339111,0.7132972478866577,0.94171405,False,0.2156477731954326,0.0
H1975,4.0,GEF,17,2,60.0,4,0.112106092274189,0.9886489510536194,0.2503399848937988,0.72632515,True,0.10873083119167158,0.07421891154445716
H1975,4.0,GEF,17,2,60.0,5,0.125043511390686,0.6029297709465027,0.6070934534072876,0.8536359,False,0.13842038480406893,0.0
H1975,4.0,GEF,18,2,60.0,1,0.079188197851181,0.4348189234733581,0.7418681383132935,0.8990272,True,0.07189546556483652,0.03962617749437347
H1975,4.0,GEF,19,2,60.0,1,0.0591611266136169,0.5907682776451111,-0.0346212163567543,0.32244036,True,0.08555327096160262,0.051111967608047704
H1975,4.0,GEF,19,2,60.0,2,0.2583365142345428,1.3736425638198853,0.7569120526313782,0.9664714,False,0.212964020443002,0.0
H1975,4.0,GEF,19,2,60.0,3,0.0797530636191368,0.3509030342102051,0.5552467107772827,0.8216615,False,0.09558962658252647,0.0
H1975,4.0,GEF,2,2,60.0,1,0.1439317166805267,0.5526724457740784,0.8866266012191772,0.90084743,False,0.1309892892080434,0.0
H1975,4.0,GEF,2,2,60.0,2,0.1617853045463562,0.9607723951339722,0.4893994927406311,0.66856533,False,0.18031885918362495,0.0
H1975,4.0,GEF,2,2,60.0,3,0.1418103575706482,0.5218984484672546,0.8375903964042664,0.80764043,False,0.12619674409247028,0.0
H1975,4.0,GEF,2,2,60.0,4,0.1407995969057083,1.0231318473815918,0.8841641545295715,0.8882,True,0.1102251674104146,0.07587863018622817
H1975,4.0,GEF,20,2,60.0,1,0.1565872132778167,0.6865608096122742,0.9110068082809448,0.9694766,False,0.14980448762793197,0.0
H1975,4.0,GEF,20,2,60.0,2,0.1064993217587471,0.654832124710083,0.9775437712669371,0.9675736,True,0.09022881971827099,0.05539212774522384
H1975,4.0,GEF,21,2,60.0,1,0.1737136989831924,1.4329090118408203,0.7867695093154907,0.81071347,False,0.21674074689642467,0.0
H1975,4.0,GEF,21,2,60.0,2,0.1210856512188911,0.4705783426761627,0.9363669157028198,0.88363206,False,0.1177583166291484,0.0
H1975,4.0,GEF,21,2,60.0,3,0.0975790470838546,0.3480928838253021,0.4817023277282715,0.78892905,False,0.09502177690028611,0.0
H1975,4.0,GEF,21,2,60.0,4,0.1952112764120102,1.5631530284881592,0.9475255608558656,0.8796003,False,0.22442683214390058,0.0
H1975,4.0,GEF,3,2,60.0,1,0.1159054785966873,1.2010432481765747,0.1197066158056259,0.37563595,True,0.11705765649312624,0.08374889998645915
H1975,4.0,GEF,3,2,60.0,2,0.0678319260478019,0.3082925975322723,0.8684984445571899,0.97375727,True,0.057599476036753104,0.029117880696649674
H1975,4.0,GEF,3,2,60.0,3,,,,0.5970681,False,,
H1975,4.0,GEF,4,2,60.0,1,0.0895695835351944,0.5600493550300598,0.9112584590911864,0.9586611,True,0.0831379045182333,0.04897212263349793
H1975,4.0,GEF,4,2,60.0,2,0.0804348215460777,0.2941420972347259,0.9478804469108582,0.9123775,False,0.08364173610739613,0.0
H1975,4.0,GEF,5,2,60.0,1,0.2079872041940689,1.20211923122406,0.855647087097168,0.7280966,False,0.20088824929091367,0.0
H1975,4.0,GEF,5,2,60.0,2,,,,0.3795022,False,,
H1975,4.0,GEF,5,2,60.0,3,0.1630937159061432,1.341904640197754,0.6854068040847778,0.5871759,True,0.12160815552315728,0.08925478873023233
H1975,4.0,GEF,5,2,60.0,4,0.2638393640518188,1.9563335180282595,0.6726691722869873,0.33682492,False,0.243521487086667,0.0
H1975,4.0,GEF,6,2,60.0,1,0.2588393092155456,1.4899742603302002,0.6511159539222717,0.8515867,False,0.22020730757626433,0.0
H1975,4.0,GEF,7,2,60.0,1,0.1118133291602134,0.4328301846981048,0.8848810195922852,0.8384913,False,0.11116565638409058,0.0
H1975,4.0,GEF,7,2,60.0,2,0.0816537365317344,0.3155073821544647,0.981020450592041,0.9374467,False,0.08826002666947402,0.0
H1975,4.0,GEF,8,2,60.0,1,0.0806493535637855,0.258350133895874,0.5309352874755859,0.97633016,False,0.07555357345521507,0.0
H1975,4.0,GEF,8,2,60.0,2,0.1052455976605415,0.5239579081535339,0.9721867442131042,0.94344795,False,0.12652351431026193,0.0
H1975,4.0,GEF,9,2,60.0,1,0.0857990607619285,0.4337399005889892,0.6800655126571655,0.9076041,True,0.07178746456325662,0.03954115463132439
