Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A199,1,1,90.0,0.28,0.07028764486312866,0.06857647001743317
MCF7,2.0,A199,1,1,90.0,0.29,0.06955272704362869,0.06948070228099823
MCF7,2.0,A199,1,1,90.0,0.3,0.0697995200753212,0.07104628533124924
MCF7,2.0,A199,1,1,90.0,0.31,0.06716913729906082,0.0744708850979805
MCF7,2.0,A199,1,1,90.0,0.32,0.06810297816991806,0.07592830061912537
MCF7,2.0,A199,1,1,90.0,0.33,0.06606869399547577,0.07881641387939453
MCF7,2.0,A199,1,1,90.0,0.34,0.05778903886675835,0.08202416449785233
MCF7,2.0,A199,1,1,90.0,0.35,0.06738165020942688,0.08358382433652878
MCF7,2.0,A199,1,1,90.0,0.36,0.06594911217689514,0.08548127859830856
MCF7,2.0,A199,1,1,90.0,0.37,0.07264094054698944,0.0885661244392395
MCF7,2.0,A199,1,1,90.0,0.38,0.06789221614599228,0.08944287896156311
MCF7,2.0,A199,1,1,90.0,0.39,0.06923360377550125,0.08929586410522461
MCF7,2.0,A199,1,1,90.0,0.4,0.07450441271066666,0.09187920391559601
MCF7,2.0,A199,1,1,90.0,0.41,0.0715775340795517,0.09084220230579376
MCF7,2.0,A199,1,1,90.0,0.42,0.07047373801469803,0.09033883363008499
MCF7,2.0,A199,1,1,90.0,0.43,0.07725200802087784,0.09121479094028473
MCF7,2.0,A199,1,1,90.0,0.44,0.07618620991706848,0.0905233696103096
MCF7,2.0,A199,1,1,90.0,0.45,0.07394833117723465,0.0899246335029602
MCF7,2.0,A199,1,1,90.0,0.46,0.07699649780988693,0.09060314297676086
MCF7,2.0,A199,1,1,90.0,0.47,0.08314528316259384,0.09093369543552399
MCF7,2.0,A199,1,1,90.0,0.48,0.07865454256534576,0.09100081771612167
MCF7,2.0,A199,1,1,90.0,0.49,0.08133392035961151,0.0870240107178688
MCF7,2.0,A199,1,1,90.0,0.5,0.08326752483844757,0.09035149961709976
MCF7,2.0,A199,1,1,90.0,0.51,0.08544249832630157,0.08882546424865723
MCF7,2.0,A199,1,1,90.0,0.52,0.09035582095384598,0.08794479072093964
MCF7,2.0,A199,1,1,90.0,0.53,0.08609732240438461,0.09026753902435303
MCF7,2.0,A199,1,1,90.0,0.54,0.08542757481336594,0.09060508012771606
MCF7,2.0,A199,1,1,90.0,0.55,0.09172575920820236,0.09449724853038788
MCF7,2.0,A199,1,1,90.0,0.56,0.08907710760831833,0.09024693816900253
MCF7,2.0,A199,1,1,90.0,0.57,0.0962362065911293,0.09197726100683212
MCF7,2.0,A199,1,1,90.0,0.58,0.08997920155525208,0.09641145914793015
MCF7,2.0,A199,1,1,90.0,0.59,0.09317135065793991,0.09611508995294571
MCF7,2.0,A199,1,1,90.0,0.6,0.0918671265244484,0.09584800153970718
MCF7,2.0,A199,1,1,90.0,0.61,0.10011428594589233,0.09719958156347275
MCF7,2.0,A199,1,1,90.0,0.62,0.09748271107673645,0.09620814025402069
MCF7,2.0,A199,1,1,90.0,0.63,0.09707048535346985,0.10038464516401291
MCF7,2.0,A199,1,1,90.0,0.64,0.09812910109758377,0.09882961958646774
MCF7,2.0,A199,1,1,90.0,0.65,0.09746026247739792,0.10025247931480408
MCF7,2.0,A199,1,1,90.0,0.66,0.09896540641784668,0.10096784681081772
MCF7,2.0,A199,1,1,90.0,0.67,0.10052882879972458,0.099940724670887
MCF7,2.0,A199,1,1,90.0,0.68,0.10007698088884354,0.1036008968949318
MCF7,2.0,A199,1,1,90.0,0.69,0.10325118899345398,0.10447658598423004
MCF7,2.0,A199,1,1,90.0,0.7,0.1002165824174881,0.10505298525094986
MCF7,2.0,A199,1,1,90.0,0.71,0.10428957641124725,0.10690167546272278
MCF7,2.0,A199,1,1,90.0,0.72,0.10067864507436752,0.11119890213012695
MCF7,2.0,A199,1,1,90.0,0.73,0.1039477065205574,0.1083788201212883
MCF7,2.0,A199,1,1,90.0,0.74,0.10471893101930618,0.10763662308454514
MCF7,2.0,A199,1,1,90.0,0.75,0.10580650717020035,0.10685513913631439
MCF7,2.0,A199,1,1,90.0,0.76,0.11243077367544174,0.11292760074138641
MCF7,2.0,A199,1,1,90.0,0.77,0.11444056034088135,0.11440351605415344
MCF7,2.0,A199,1,1,90.0,0.78,0.1251664012670517,0.11679442226886749
MCF7,2.0,A199,1,1,90.0,0.79,0.1270725429058075,0.1180701032280922
MCF7,2.0,A199,1,1,90.0,0.8,0.13444124162197113,0.12292426824569702
MCF7,2.0,A199,1,1,90.0,0.81,0.13908421993255615,0.12445589900016785
MCF7,2.0,A199,1,1,90.0,0.82,0.13953092694282532,0.12395700067281723
MCF7,2.0,A199,1,1,90.0,0.83,0.14060063660144806,0.12325064837932587
MCF7,2.0,A199,1,1,90.0,0.84,0.14248695969581604,0.1273626685142517
MCF7,2.0,A199,1,1,90.0,0.85,0.14665080606937408,0.12767773866653442
MCF7,2.0,A199,1,1,90.0,0.86,0.14687032997608185,0.12740227580070496
MCF7,2.0,A199,1,1,90.0,0.87,0.14758683741092682,0.12623721361160278
MCF7,2.0,A199,1,1,90.0,0.88,0.14495433866977692,0.12900680303573608
MCF7,2.0,A199,1,1,90.0,0.89,0.1464630663394928,0.13007444143295288
MCF7,2.0,A199,1,1,90.0,0.9,0.14715442061424255,0.13217474520206451
MCF7,2.0,A199,1,1,90.0,0.91,0.1454729586839676,0.13162460923194885
MCF7,2.0,A199,1,1,90.0,0.92,0.1464868038892746,0.13042865693569183
MCF7,2.0,A199,1,1,90.0,0.93,0.14430610835552216,0.13193157315254211
MCF7,2.0,A199,1,1,90.0,0.94,0.14347581565380096,0.13106800615787506
MCF7,2.0,A199,1,1,90.0,0.95,0.14207841455936432,0.13025861978530884
MCF7,2.0,A199,1,1,90.0,0.96,0.13888250291347504,0.13140419125556946
MCF7,2.0,A199,1,1,90.0,0.97,0.1379733383655548,0.1309608817100525
MCF7,2.0,A199,1,1,90.0,0.98,0.13560731709003448,0.13463228940963745
MCF7,2.0,A199,1,1,90.0,0.99,0.13224650919437408,0.13291466236114502
MCF7,2.0,A199,1,1,90.0,1.0,0.12940281629562378,0.13318513333797455
MCF7,2.0,A199,1,1,90.0,1.01,0.12850967049598694,0.1334909349679947
MCF7,2.0,A199,1,1,90.0,1.02,0.12582556903362274,0.1323040872812271
MCF7,2.0,A199,1,1,90.0,1.03,0.12363994866609573,0.13332654535770416
MCF7,2.0,A199,1,1,90.0,1.04,0.12282094359397888,0.13246358931064606
MCF7,2.0,A199,1,1,90.0,1.05,0.1203194111585617,0.13194845616817474
MCF7,2.0,A199,1,1,90.0,1.06,0.12187954783439636,0.13623084127902985
MCF7,2.0,A199,1,1,90.0,1.07,0.12095365673303604,0.13683177530765533
MCF7,2.0,A199,1,1,90.0,1.08,0.12053834646940231,0.1360485553741455
MCF7,2.0,A199,1,1,90.0,1.09,0.12271354347467422,0.13721643388271332
MCF7,2.0,A199,1,1,90.0,1.1,0.12372975051403046,0.13895030319690704
MCF7,2.0,A199,1,1,90.0,1.11,0.11786907911300659,0.13907767832279205
MCF7,2.0,A199,1,1,90.0,1.12,0.12072861939668655,0.1397736519575119
MCF7,2.0,A199,1,1,90.0,1.13,0.1197003722190857,0.1431621015071869
MCF7,2.0,A199,1,1,90.0,1.14,0.12390695512294769,0.14421617984771729
MCF7,2.0,A199,1,1,90.0,1.15,0.1253698617219925,0.14770732820034027
MCF7,2.0,A199,1,1,90.0,1.16,0.1228318139910698,0.1510525643825531
MCF7,2.0,A199,1,1,90.0,1.17,0.1250007003545761,0.15167763829231262
MCF7,2.0,A199,1,1,90.0,1.18,0.12206649780273438,0.15719997882843018
MCF7,2.0,A199,1,1,90.0,1.19,0.12315051257610321,0.15802018344402313
MCF7,2.0,A199,1,1,90.0,1.2,0.12113868445158005,0.15911965072155
MCF7,2.0,A199,1,1,90.0,1.21,0.1250464916229248,0.16168591380119324
MCF7,2.0,A199,1,1,90.0,1.22,0.1402413696050644,0.17087949812412262
MCF7,2.0,A199,1,1,90.0,1.23,0.1239178329706192,0.16558624804019928
MCF7,2.0,A199,1,1,90.0,1.24,0.11453892290592194,0.16828125715255737
MCF7,2.0,A199,1,1,90.0,1.25,0.13413186371326447,0.17161095142364502
MCF7,2.0,A199,1,1,90.0,1.26,0.13404685258865356,0.17205923795700073
MCF7,2.0,A199,1,1,90.0,1.27,,0.17407992482185364
MCF7,2.0,A199,1,1,90.0,1.28,,0.17435461282730103
MCF7,2.0,A199,1,1,90.0,1.29,,0.17388588190078735
MCF7,2.0,A199,1,1,90.0,1.3,,0.1784060299396515
MCF7,2.0,A199,1,1,90.0,1.31,,0.17588792741298676
MCF7,2.0,A199,1,1,90.0,1.32,,0.1783946454524994
MCF7,2.0,A199,1,1,90.0,1.33,,0.17686250805854797
MCF7,2.0,A199,1,1,90.0,1.34,,0.17931638658046722
MCF7,2.0,A199,1,1,90.0,1.35,,0.1828351765871048
MCF7,2.0,A199,1,1,90.0,1.36,,0.1765371710062027
MCF7,2.0,A199,1,1,90.0,1.37,,0.18086837232112885
MCF7,2.0,A199,1,1,90.0,1.38,,0.1789584457874298
MCF7,2.0,A199,1,1,90.0,1.39,,0.18074721097946167
MCF7,2.0,A199,1,1,90.0,1.4,,0.184571772813797
MCF7,2.0,A199,1,1,90.0,1.41,,0.18211011588573456
MCF7,2.0,A199,1,1,90.0,1.42,,0.17930012941360474
MCF7,2.0,A199,1,1,90.0,1.43,,0.1815137267112732
MCF7,2.0,A199,1,1,90.0,1.44,,0.1855231076478958
MCF7,2.0,A199,1,1,90.0,1.45,,0.18067997694015503
MCF7,2.0,A199,1,1,90.0,1.46,,0.18817554414272308
MCF7,2.0,A199,1,1,90.0,1.47,,0.1852099746465683
MCF7,2.0,A199,1,1,90.0,1.48,,0.19224919378757477
MCF7,2.0,A199,1,1,90.0,1.49,,0.19053369760513306
MCF7,2.0,A199,1,1,90.0,1.5,,0.1887548714876175
MCF7,2.0,A199,1,1,90.0,1.51,,0.1912366896867752
MCF7,2.0,A199,1,1,90.0,1.52,,0.19344276189804077
MCF7,2.0,A199,1,1,90.0,1.53,,0.194978266954422
MCF7,2.0,A199,1,1,90.0,1.54,,0.19658708572387695
MCF7,2.0,A199,1,1,90.0,1.55,,0.18932045996189117
MCF7,2.0,A199,1,1,90.0,1.56,,0.19521528482437134
MCF7,2.0,A199,1,1,90.0,1.57,,0.1916610151529312
MCF7,2.0,A199,1,1,90.0,1.58,,0.19554652273654938
MCF7,2.0,A199,1,1,90.0,1.59,,0.20028972625732422
MCF7,2.0,A199,1,1,90.0,1.6,,0.20383545756340027
MCF7,2.0,A199,1,1,90.0,1.61,,0.1957690566778183
MCF7,2.0,A199,1,1,90.0,1.62,,0.19501151144504547
MCF7,2.0,A199,1,1,90.0,1.63,,0.19970302283763885
MCF7,2.0,A199,1,1,90.0,1.64,,0.20191320776939392
MCF7,2.0,A199,1,1,90.0,1.65,,0.1983892172574997
MCF7,2.0,A199,1,1,90.0,1.66,,0.20587755739688873
MCF7,2.0,A199,1,1,90.0,1.67,,0.19496962428092957
MCF7,2.0,A199,1,1,90.0,1.68,,0.20202286541461945
MCF7,2.0,A199,1,1,90.0,1.69,,0.2018023580312729
MCF7,2.0,A199,1,1,90.0,1.7,,0.20976947247982025
MCF7,2.0,A199,1,1,90.0,1.71,,0.21194615960121155
MCF7,2.0,A199,1,1,90.0,1.72,,0.19722388684749603
MCF7,2.0,A199,1,1,90.0,1.73,,0.19853031635284424
MCF7,2.0,A199,1,1,90.0,1.74,,0.2204761654138565
MCF7,2.0,A199,1,1,90.0,1.75,,0.18784846365451813
MCF7,2.0,A199,1,1,90.0,1.76,,0.1926719844341278
MCF7,2.0,A199,1,1,90.0,1.77,,0.21484380960464478
MCF7,2.0,A199,1,1,90.0,1.78,,0.20822568237781525
MCF7,2.0,A199,1,1,90.0,1.79,,0.2186623066663742
MCF7,2.0,A199,1,1,90.0,1.8,,0.24405834078788757
MCF7,2.0,A199,1,1,90.0,1.81,,0.18625377118587494
MCF7,2.0,A199,1,1,90.0,1.82,,0.2130523920059204
MCF7,2.0,A199,1,1,90.0,1.83,,0.18419258296489716
MCF7,2.0,A199,1,1,90.0,1.84,,0.20454561710357666
MCF7,2.0,A199,1,1,90.0,1.85,,0.20428566634655
MCF7,2.0,A199,1,1,90.0,1.86,,0.19508978724479675
MCF7,2.0,A199,1,1,90.0,1.87,,0.20191757380962372
MCF7,2.0,A199,1,1,90.0,1.88,,0.21391116082668304
