Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
MCF7,2,A133,7,2,40,2,0.0767611637711525,0.69051933,0.9160847,0.9812844,True,0.09264174314950945,0.05767367113208886
MCF7,2,A133,7,2,40,3,,0.3680315,0.8136692,0.9217295,False,0.09900034611776116,0.0
MCF7,2,A133,7,2,40,4,,0.37882778,0.70146984,0.9070139,False,0.10110662481720523,0.0
MCF7,2,A133,7,2,40,5,0.0710552334785461,0.6506545,0.8999239,0.9639068,True,0.08993780069903633,0.05512032987886474
MCF7,2,A133,7,2,40,6,0.0923631489276886,1.2232634,0.21739972,0.7445051,True,0.11782056798304998,0.08465698424940256
MCF7,2,A133,7,2,40,7,0.1165544092655181,1.2770424,0.801384,0.9294682,True,0.1195947802817876,0.08679206749935164
MCF7,2,A133,7,2,40,8,0.0488313548266887,0.43577695,0.42852676,0.54885054,True,0.0719911784594165,0.03970160056172603
MCF7,2,A133,7,2,40,9,0.0731992870569229,0.50944895,0.45207456,0.74524516,True,0.07888388749357894,0.04531853326400946
MCF7,2,A133,7,2,40,10,0.0645930245518684,0.70825267,0.8538468,0.9569547,True,0.09379411760962907,0.05878107641011744
MCF7,2,A133,7,2,40,11,0.0630325451493263,0.8269795,0.5265949,0.91819185,True,0.10080388496256902,0.06577075695322694
MCF7,2,A133,7,2,40,12,0.0752614811062812,1.1805506,0.90669334,0.68417174,True,0.11633777627506797,0.08289750897811529
MCF7,2,A133,8,2,40,1,0.0588922351598739,0.48828548,0.66070324,0.958947,True,0.0769939725767006,0.04374163833579717
MCF7,2,A133,8,2,40,2,0.0907148495316505,0.730191,0.44805118,0.87238467,True,0.09517921856894813,0.0601275007470118
MCF7,2,A133,8,2,40,3,0.0586984939873218,0.5087495,0.6752631,0.858472,True,0.07882251476620024,0.04526688244652459
MCF7,2,A133,8,2,40,4,0.070511370897293,0.87090206,0.78039443,0.9445083,True,0.10312255714199473,0.06818088248327353
MCF7,2,A133,9,2,40,1,0.0748205110430717,0.47441107,0.644772,0.9163388,True,0.07571688641490514,0.04269193274839646
MCF7,2,A133,9,2,40,2,0.0966055393218994,0.92933,0.43713048,0.7098203,True,0.10600899707142097,0.07125121243135979
MCF7,2,A133,9,2,40,3,0.0730379000306129,0.45014462,0.4230813,0.82275945,True,0.07340687732036398,0.040825329506014474
MCF7,2,A133,9,2,40,4,,0.44590813,0.97957444,0.9941319,False,0.1134886708466049,0.0
MCF7,2,A133,9,2,40,5,0.0487749390304088,0.5100465,0.73151225,0.92606336,True,0.0789362612216908,0.045362634209675026
MCF7,2,A133,9,2,40,6,,0.43727034,0.8927647,0.9745603,False,0.11195909401428264,0.0
MCF7,2,A133,9,2,40,7,0.0497707091271877,0.52212566,0.8697876,0.97231114,True,0.07998366613872906,0.04624917253505034
MCF7,2,A133,9,2,40,8,0.081154890358448,0.65505236,0.7162596,0.9084295,True,0.09024411050698618,0.05540642859740809
MCF7,2,A133,9,2,40,9,0.0619597025215625,0.5579349,0.90884984,0.98580754,True,0.08296718668671078,0.04882268668989821
