Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var,FRET_Judge,Near_Ed,Ed_diff
A549,4,ALM,1,2,3,1,0.1273747235536575,0.0218901485204696,0.2799040973186493,0.0054096826352179,0.1935795992612838,0.0033862497657537,0.3464002907276153,0.0093060871586203,0.2409485578536987,0.2658238708972931,1.1118013,1.7995962,1.7902036,1673,120838,122511,0.58993936,0.10404342,0.30374256,0.9409911,0.892053,1.0747116,5.3209887,0.0,1.5807135,1.7181464,2.7546072,0.0,0.19801506,1.0658033,5.3209887,0.0,1.5940456,ALM,0.16351002329907469,0.11774233796126324
A549,4,ALM,10,2,3,1,0.1076307147741317,0.016232268884778,0.2452106922864914,0.0032452433370053,0.2064335942268371,0.0014742901548743,0.3960334658622741,0.0941437482833862,0.236622616648674,0.2556366622447967,0.6114761,0.9132545,0.9091885,800,58575,59375,0.34919268,0.6673521,0.25295633,0.97347814,0.8700011,0.5551256,3.1871834,0.0,0.50905037,0.93434805,1.4688085,0.5280537,0.0339455,0.54994637,3.1871834,0.0,0.5135482,control,0.21492301213703344,0.0
A549,4,ALM,12,2,3,1,0.0941950753331184,0.0071023050695657,0.1521046757698059,0.0026603676378726,0.0973138585686683,0.0007829631795175,0.1866154223680496,0.0194951929152011,0.1200103536248207,0.1330780684947967,1.0941234,1.7724291,1.7667214,400,47135,47535,0.9520311,0.61970496,0.5325872,0.9851816,0.92380846,0.8881645,2.9157965,0.0,0.58807504,0.8775188,1.300954,0.59002477,0.02690833,0.8882549,2.9157965,0.0,0.5928362,ALM,0.08351041531348904,0.12445015041818941
A549,4,ALM,12,2,3,2,0.0293119419366121,0.003542595077306,0.131489560008049,0.0024563316255807,0.1041577756404876,0.0016807381762191,0.2235056608915329,0.0,0.1369836181402206,0.1590155065059662,1.0020427,1.5463665,1.5386021,600,41463,42063,0.7366846,0.006832652,0.27563268,0.9768182,0.91880566,0.34858134,2.884831,0.0,0.44558334,1.2024825,1.9250591,0.67687196,0.07008871,0.33622512,2.884831,0.0,0.4403131,ALM,0.11443608157705862,0.1284905640175874
A549,4,ALM,14,2,3,1,0.0316938981413841,0.0041219666600227,0.1363924890756607,0.0034584959503263,0.0826279670000076,0.001016329973936,0.1593680679798126,0.0,0.1090026721358299,0.1238975971937179,0.7967372,2.9657516,2.9347422,1146,79013,80159,0.8632795,0.5027636,0.3457072,0.97209644,0.7989205,0.31496963,3.936399,0.0,0.4343936,0.43216774,1.075063,0.22715779,0.018071637,0.3132698,3.936399,0.0,0.44022974,ALM,0.041127902276842335,0.09313848798867248
A549,4,ALM,14,2,3,2,0.0526333525776863,0.0060983467847108,0.1468820422887802,0.0031750006601214,0.1037410274147987,0.0017700144089758,0.2695009410381317,0.0,0.1361311376094818,0.1603784710168838,1.2107602,2.05364,2.0293374,2272,76527,78799,0.89293486,0.06390625,0.6077183,0.93832314,0.8994514,0.60428405,4.1052303,0.0,0.7913483,0.9730784,2.4527931,0.0,0.14344306,0.5933351,4.1052303,0.0,0.8064258,ALM,0.09260449042981805,0.126833766645428
A549,4,ALM,14,2,3,3,0.1121433824300766,0.0462768226861953,0.505172848701477,0.0099156517535448,,,,,,,0.775251,0.8902124,0.88862634,1618,115661,117279,0.30086938,-0.02606456,0.1816292,0.96207297,0.8402923,1.6118327,12.190561,0.0,9.684898,7.341647,10.877781,0.0,3.2842846,1.5316778,12.190561,0.0,9.308743,,,
A549,4,ALM,15,2,3,1,0.1877163052558899,0.0119636552408337,0.2277644127607345,0.0053944941610097,0.1568558365106582,0.0017885230481624,0.2765774726867676,0.0219777002930641,0.1912935376167297,0.2095779031515121,1.0375379,1.4262064,1.4155493,3292,116771,120063,0.68348217,0.033223256,0.6023897,0.9448844,0.91723365,2.0473454,7.1598673,0.0,1.3945497,1.7767086,3.1799722,0.7490861,0.23785286,2.054975,7.1598673,0.0,1.425036,ALM,0.16908318440248538,0.11562159260514115
A549,4,ALM,16,2,3,1,0.0997201725840568,0.0036296595353633,0.1116967648267746,0.0027278426568955,0.0570353157818317,0.0008370942668989,0.1690124124288559,0.0,0.0805604085326194,0.0945297703146934,1.0449427,3.028297,2.9892712,1729,86142,87871,0.7828151,0.4795433,0.41348374,0.95759887,0.8489182,1.3526677,5.2460947,0.0,0.7132662,0.5957162,1.3186773,0.18136944,0.02469623,1.3678607,5.2460947,0.0,0.7153554,ALM,0.056692240976459425,0.10941654778707982
A549,4,ALM,17,2,3,1,0.1273539364337921,0.0180651824921369,0.2524251639842987,0.0042354315519332,0.2047524601221084,0.001626300276257,0.3579258620738983,0.0737296119332313,0.2366940826177597,0.2572146356105804,0.80199593,1.179082,1.1733004,2082,133709,135791,0.6148195,0.35343558,0.44837794,0.9666317,0.8929706,0.49165976,2.9465246,0.0,0.329952,0.5935761,1.2688335,0.30701268,0.028212227,0.49007282,2.9465246,0.0,0.3344862,control,0.16573432097992613,0.0
A549,4,ALM,18,2,3,1,0.0469202138483524,0.0078849112614989,0.2023441940546035,0.0025546650867909,0.1556455343961715,0.0017203447641804,0.284811407327652,0.0444937571883201,0.1891656666994094,0.2098265290260315,0.7260422,1.4708424,1.4605476,692,49371,50063,0.5804757,0.5324129,0.29462907,0.936272,0.8773789,0.16864097,1.5618799,0.0,0.12093703,0.46775544,0.9797154,0.20594195,0.025133973,0.16444859,1.5618799,0.0,0.12100821,control,0.14179927271431028,0.0
A549,4,ALM,18,2,3,2,0.0949474945664405,0.0154357645660638,0.2425193190574646,0.0036377327051013,0.1563167572021484,0.0016014481661841,0.3316839337348938,0.0506674610078334,0.1875113695859909,0.210597276687622,0.8401061,2.1076574,2.0817478,1179,56500,57679,0.83933264,0.61955565,0.38914335,0.9815811,0.8552435,0.48771673,3.6555235,0.0,0.43216422,0.7252583,1.2266741,0.4303377,0.019157305,0.48275992,3.6555235,0.0,0.43958032,control,0.18704557450096046,0.0
A549,4,ALM,18,2,3,3,0.1260372400283813,0.0176500771194696,0.2538903951644897,0.0030937704723328,0.1818385273218155,0.0013814946869388,0.3300002515316009,0.0870202109217643,0.21156607568264,0.2306454628705978,0.507144,0.93807477,0.93148357,1390,89489,90879,0.6133177,-0.04621615,0.2883779,0.97257745,0.8666402,0.5995303,3.8200562,0.0,0.51347125,0.8167037,1.6001999,0.45775294,0.038854364,0.5961571,3.8200562,0.0,0.52009916,control,0.2000273021276167,0.0
A549,4,ALM,18,2,3,4,0.1886983811855316,0.0229652151465415,0.2972613275051117,0.0039061242714524,0.2425966411828994,0.0017961201956495,0.3645749390125274,0.1317027509212494,0.2766643166542053,0.2998976707458496,1.144832,1.2528379,1.2513326,400,28303,28703,0.9648502,0.50156605,0.79314667,0.9889546,0.95503885,1.8323294,5.6204267,0.0,2.1740377,2.4132428,3.168865,1.6892613,0.08528426,1.8241199,5.6204267,0.0,2.1987205,ALM,0.22965993261943468,0.08492845779336045
A549,4,ALM,2,2,3,1,0.0591222569346427,0.0057671465910971,0.1319287121295929,0.0032638711854815,0.0811894387006759,0.000479278183775,0.1265886425971985,0.033792857080698,0.0998824387788772,0.1096843928098678,1.1646138,3.910775,3.88607,915,100796,101711,0.9543061,0.09164929,0.3262831,0.9482443,0.79731315,0.4171863,2.683659,0.0,0.3115527,0.33437926,0.76537704,0.15824585,0.01274891,0.41793805,2.683659,0.0,0.31420234,control,0.11149846901836169,0.0
A549,4,ALM,2,2,3,2,0.0407517701387405,0.0073710069991648,0.2025658786296844,0.003861240344122,0.1475363075733184,0.0024221548810601,0.3022159934043884,0.0053201401606202,0.1872403472661972,0.2132234126329422,1.7063057,2.9367423,2.9218237,1647,134192,135839,0.78782386,0.09828092,0.4297945,0.93764615,0.89146966,0.46837714,4.722803,0.0,0.96508217,1.5597154,2.926533,0.0,0.21311371,0.4549828,4.722803,0.0,0.959514,ALM,0.14843269548737267,0.12268791512325525
A549,4,ALM,3,2,3,1,0.0922500342130661,0.0178032144904136,0.2715058326721191,0.0037285631988197,0.1814203560352325,0.001995304133743,0.3401125967502594,0.0622464269399642,0.2171690464019775,0.2414409816265106,0.85893255,1.5854068,1.5712968,2363,119300,121663,0.8336679,-0.119964704,0.24221215,0.95874846,0.90105414,0.8666082,5.164408,0.0,1.5990056,1.722284,3.5933192,0.0,0.24311374,0.8496598,5.164408,0.0,1.6110722,ALM,0.16390378431525018,0.11759737735030198
