ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,current_Metadata_concentration
5,0.186097115278244,0.0172773469239473,0.17400547862052917,0.432303786277771,0.0032103315461426973,0.22945599257946014,0.26494479179382324,A549,4.0,alm,2,2,0.0
6,0.025394482538104,0.0056729330681264,0.21704407036304474,0.36433663964271545,0.05417238548398018,0.27110663056373596,0.3018755316734314,A549,4.0,alm,2,2,0.0
7,0.3777154386043548,0.0053889290429651,0.41816994547843933,0.4761839807033539,0.3520778715610504,0.43985694646835327,0.45220947265625,A549,4.0,alm,2,2,0.0
8,0.2108345329761505,0.0027826519217342,0.1584915965795517,0.21808363497257233,0.07834246009588242,0.1780567765235901,0.18944191932678223,A549,4.0,alm,2,2,0.0
9,1.908672675199341e-05,3.563276095519541e-06,0.0,0.0,0.0,0.0,0.0,A549,4.0,alm,2,2,0.0
10,0.292820394039154,0.0052280952222645,0.17897383868694305,0.3157764971256256,0.09577794373035431,0.21833722293376923,0.2505010664463043,A549,4.0,alm,2,2,0.0
1,0.3271444439888,0.0041980608366429,0.22907781600952148,0.3129715919494629,0.15294894576072693,0.26087257266044617,0.2780255079269409,A549,4.0,alm,3,2,0.0
2,0.2906293570995331,0.0102690421044826,0.23139548301696777,0.3620125353336334,0.13579364120960236,0.26517465710639954,0.29051849246025085,A549,4.0,alm,3,2,0.0
3,0.1763128936290741,0.0039247316308319,0.07529916614294052,0.14099173247814178,0.014757824130356312,0.09949944913387299,0.11333569884300232,A549,4.0,alm,3,2,0.0
4,0.15902741253376,0.0075770141556859,0.06884890794754028,0.14068758487701416,0.0023397360928356647,0.09583774209022522,0.11082172393798828,A549,4.0,alm,3,2,0.0
5,0.1888587921857834,0.0096251405775547,0.12477302551269531,0.19699464738368988,0.017386307939887047,0.15460655093193054,0.17206570506095886,A549,4.0,alm,3,2,0.0
6,0.254257321357727,0.0071861022152006,0.09856396913528442,0.1435769498348236,0.035934560000896454,0.11970330774784088,0.12964412569999695,A549,4.0,alm,3,2,0.0
7,0.1209619343280792,0.0027546158526092,0.05419353023171425,0.10481572151184082,0.012996452860534191,0.06858108937740326,0.07708922773599625,A549,4.0,alm,3,2,0.0
1,0.1467833966016769,0.0094202132895588,0.14579755067825317,0.2873471975326538,0.0018560693133622408,0.18861530721187592,0.21274903416633606,A549,4.0,alm,4,2,0.0
2,0.044364184141159,0.0020281432662159,0.016670266166329384,0.05411307513713837,0.00012131456605857238,0.025440867990255356,0.03099771775305271,A549,4.0,alm,4,2,0.0
3,0.1121465787291526,0.0038930233567953,0.04264712333679199,0.07447987794876099,0.000546988274436444,0.05376656353473663,0.059350986033678055,A549,4.0,alm,4,2,0.0
4,1.3895636584493332e-05,3.5808036500384333e-06,0.0,0.0,0.0,0.0,0.0,A549,4.0,alm,4,2,0.0
5,0.0538243427872657,0.0023054229095578,0.030818648636341095,0.12286895513534546,0.0002105731109622866,0.047935280948877335,0.062493324279785156,A549,4.0,alm,4,2,0.0
6,0.1648450493812561,0.0076569616794586,0.0905558243393898,0.20073232054710388,0.0009131586411967874,0.1328820288181305,0.15303868055343628,A549,4.0,alm,4,2,0.0
7,0.2715214490890503,0.016949413344264,0.10166670382022858,0.19648954272270203,0.028253301978111267,0.12875881791114807,0.14607971906661987,A549,4.0,alm,4,2,0.0
1,0.3242934346199035,0.0018618949688971,0.26400047540664673,0.2920820713043213,0.22426056861877441,0.27773618698120117,0.2839738726615906,A549,4.0,alm,5,2,0.0
2,0.0516590699553489,0.001090012374334,0.0349758043885231,0.08755283802747726,0.00019037390302401036,0.04925161600112915,0.057840850204229355,A549,4.0,alm,5,2,0.0
3,0.2734849452972412,0.0071729165501892,0.16450953483581543,0.2974777817726135,0.08588247746229172,0.19943886995315552,0.2254575490951538,A549,4.0,alm,5,2,0.0
4,0.1564701795578003,0.0047865812666714,0.05706324428319931,0.1954328715801239,2.9923128749942407e-05,0.08817680925130844,0.10843787342309952,A549,4.0,alm,5,2,0.0
1,0.0817722007632255,0.0011338840704411,0.033351682126522064,0.08945856243371964,0.005491388496011496,0.04543710872530937,0.055152084678411484,A549,4.0,alm,6,2,0.0
2,0.0857933461666107,0.001556197181344,0.051887378096580505,0.11753255128860474,0.003656193148344755,0.0676732212305069,0.07862918078899384,A549,4.0,alm,6,2,0.0
3,0.0408232808113098,0.0003367259050719,0.02585933730006218,0.06467622518539429,0.0028854936826974154,0.03604215011000633,0.04311719536781311,A549,4.0,alm,6,2,0.0
4,0.0965968966484069,0.0018625763477757,0.04474171996116638,0.10202144086360931,6.793463398935273e-05,0.0627259686589241,0.07373037189245224,A549,4.0,alm,6,2,0.0
5,0.083946868777275,0.002041176892817,0.026864249259233475,0.06040344387292862,0.00022133182210382074,0.037182632833719254,0.04306379705667496,A549,4.0,alm,6,2,0.0
1,0.146228089928627,0.0065127830021083,0.07499934732913971,0.19752272963523865,0.0016888470854610205,0.10730410367250443,0.1311562955379486,A549,4.0,alm,7,2,0.0
2,0.2588373124599457,0.0272012706845998,0.25645527243614197,0.47289034724235535,0.004943783860653639,0.3259966969490051,0.366282194852829,A549,4.0,alm,7,2,0.0
3,0.0979805290699005,0.0034305460285395,0.031941208988428116,0.10105937719345093,0.00026214029639959335,0.04763324186205864,0.057808540761470795,A549,4.0,alm,7,2,0.0
4,0.1235521957278251,0.0048870984464883,0.04417560622096062,0.11352802813053131,0.0017073581693693995,0.06455371528863907,0.07918734848499298,A549,4.0,alm,7,2,0.0
1,0.1844136863946914,0.0125987073406577,0.16895532608032227,0.3578214943408966,0.004841775167733431,0.21654991805553436,0.2507455348968506,A549,4.0,alm,8,2,0.0
2,0.0104193994775414,0.0051655657589435,0.5731693506240845,0.5787022709846497,0.5676364898681641,0.5787022709846497,0.5787022709846497,A549,4.0,alm,8,2,0.0
3,0.2643785774707794,0.0127496905624866,0.22053976356983185,0.39306753873825073,0.06456270068883896,0.2744600474834442,0.31162500381469727,A549,4.0,alm,8,2,0.0
4,0.0729646980762481,0.0265564136207103,0.32851147651672363,0.4127236604690552,0.2233058661222458,0.3966573476791382,0.4127236604690552,A549,4.0,alm,8,2,0.0
5,0.0156921930611133,0.0036909759510308,0.231094628572464,0.37551558017730713,0.11558445543050766,0.2789658010005951,0.30940917134284973,A549,4.0,alm,8,2,0.0
6,0.1785555630922317,0.0123268347233533,0.0711057037115097,0.1559756100177765,0.003643839852884412,0.09424097836017609,0.1090773418545723,A549,4.0,alm,8,2,0.0
1,0.1801348775625229,0.02050157263875,0.12111234664916992,0.14023444056510925,0.08539090305566788,0.13247257471084595,0.13769297301769257,A549,4.0,alm,9,2,0.0
2,0.1546425223350525,0.0051040123216807,0.08146867156028748,0.16116690635681152,0.03455694019794464,0.1011640653014183,0.115424245595932,A549,4.0,alm,9,2,0.0
3,0.1692540794610977,0.0147062866017222,0.1647060215473175,0.3020426630973816,0.02699458971619606,0.20404264330863953,0.22637547552585602,A549,4.0,alm,9,2,0.0
4,0.2170507162809372,0.0059687038883566,0.14435505867004395,0.28868919610977173,0.014407025650143623,0.18284708261489868,0.20589590072631836,A549,4.0,alm,9,2,0.0
5,0.1480300575494766,0.006595866754651,0.025507822632789612,0.07119206339120865,3.775769073399715e-05,0.03796772658824921,0.046043511480093,A549,4.0,alm,9,2,0.0
6,0.1192336529493331,0.0018636272288858,0.04934103786945343,0.09602221101522446,0.0018621182534843683,0.065120168030262,0.07471480220556259,A549,4.0,alm,9,2,0.0
1,0.0697078704833984,0.0007544021354988,0.08253161609172821,0.13344992697238922,0.03918183967471123,0.09413416683673859,0.10263378173112869,A549,4.0,control,1,3,0.0
2,0.0765294358134269,0.004315068013966,0.08792177587747574,0.16355913877487183,0.01902773231267929,0.109646737575531,0.12234323471784592,A549,4.0,control,1,3,0.0
3,0.1426819860935211,0.0036058172117918,0.09456516802310944,0.2551429867744446,0.0141361178830266,0.12089095264673233,0.14248815178871155,A549,4.0,control,1,3,0.0
4,0.1030547693371772,0.0028592066373676,0.06378194689750671,0.14161312580108643,0.0013854646822437644,0.08647049963474274,0.09999773651361465,A549,4.0,control,1,3,0.0
5,0.2228966504335403,0.0090889921411871,0.18580134212970734,0.34153905510902405,0.014714871533215046,0.22517143189907074,0.24884797632694244,A549,4.0,control,1,3,0.0
