Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean_value,Rc_region_mean,Fp_region_PCC,FRET_Judge,Near_Ed
MCF7,6.0,A133,9,1,80.0,2,,0.29933596,0.900087,False,0.08477840733354289
MCF7,6.0,A133,9,1,80.0,3,,0.20207968,0.8987596,False,0.0618638876251531
MCF7,6.0,A133,0,2,40.0,1,0.146231546998024,0.6934184,0.5482639,False,0.15068808228374037
MCF7,6.0,A133,0,2,40.0,2,,0.3368322,0.9384512,False,0.0927223697933069
MCF7,6.0,A133,1,2,40.0,1,,0.27292535,0.9030772,False,0.07890213577724728
MCF7,6.0,A133,1,2,40.0,2,,0.23259106,0.9361311,False,0.06944193646836931
MCF7,6.0,A133,10,2,40.0,1,0.1119092851877212,0.50458235,0.93428373,False,0.12341385288748069
MCF7,6.0,A133,10,2,40.0,2,0.1151006147265434,0.6249039,0.77955866,False,0.14152506815941546
MCF7,6.0,A133,2,2,40.0,1,0.1377668380737304,0.97911704,0.46062347,True,0.10830670398307232
MCF7,6.0,A133,2,2,40.0,2,0.1114512383937835,0.25715744,0.22348945,False,0.07527612286970199
MCF7,6.0,A133,2,2,40.0,3,0.1472255587577819,1.0367081,0.44117475,True,0.11079688950363985
MCF7,6.0,A133,3,2,40.0,1,0.1309578418731689,0.16887927,0.5487826,False,0.053168511885748476
MCF7,6.0,A133,3,2,40.0,2,0.1835415810346603,0.7405035,0.91586405,False,0.1565669290524265
MCF7,6.0,A133,3,2,40.0,3,,0.23975828,0.8176523,False,0.07116794335102161
MCF7,6.0,A133,3,2,40.0,4,0.1687992215156555,1.2797143,0.90590745,False,0.20657626370111376
MCF7,6.0,A133,3,2,40.0,5,0.1262046098709106,0.5026983,0.8942826,False,0.1231071961683859
MCF7,6.0,A133,3,2,40.0,6,0.1283493936061859,1.4321966,0.73084384,True,0.12420356797717812
MCF7,6.0,A133,4,2,40.0,1,0.1169152557849884,0.70358074,0.871736,True,0.0934934160926247
MCF7,6.0,A133,4,2,40.0,2,0.1467508524656295,1.0706549,0.8117137,True,0.11218731910028308
MCF7,6.0,A133,5,2,40.0,1,,0.17751333,0.91312164,False,0.05547699866803206
MCF7,6.0,A133,6,2,40.0,1,0.1797571331262588,1.0417672,0.9405188,False,0.18776397700971983
MCF7,6.0,A133,6,2,40.0,2,0.1370832175016403,0.3749404,0.89479005,False,0.10035203504093704
MCF7,6.0,A133,7,2,40.0,1,0.092145599424839,0.5278339,0.36877137,True,0.08047125843126242
MCF7,6.0,A133,7,2,40.0,2,,0.1196569,0.5332294,False,0.03932788624801044
MCF7,6.0,A133,8,2,40.0,1,0.1053677275776863,0.34171078,0.6636912,False,0.09372330379577033
MCF7,6.0,A133,8,2,40.0,2,,0.2518891,0.95170844,False,0.07404424944669619
MCF7,6.0,A133,8,2,40.0,3,0.1015828177332878,0.3856851,0.88844013,False,0.10242739623887132
MCF7,6.0,A133,9,2,40.0,1,,0.17059103,0.9780097,False,0.053628891244792816
MCF7,6.0,A133,9,2,40.0,2,0.0906554386019706,0.53671145,0.8463679,True,0.081220368370867
MCF7,6.0,A133,9,2,40.0,3,0.1243041306734085,1.0374887,0.71140385,True,0.11082948490907886
MCF7,2.0,control,0,3,0.0,1,0.1449272036552429,0.45638397,0.95386446,False,0.11531938308823875
MCF7,2.0,control,0,3,0.0,2,0.1353545039892196,0.59123075,0.97212505,False,0.1367324732757961
MCF7,2.0,control,1,3,0.0,1,,0.12783457,0.84694993,False,0.04171101242268181
MCF7,2.0,control,4,3,0.0,1,0.1825786381959915,0.60003674,0.9828485,False,0.1380052812537292
MCF7,2.0,control,5,3,0.0,1,,0.3840876,0.93776476,False,0.10212087500820034
MCF7,2.0,control,6,3,0.0,1,0.1496301889419555,0.6827344,0.81795967,False,0.14930832768379845
MCF7,2.0,control,6,3,0.0,2,0.1582318842411041,0.5142975,0.94973636,False,0.12498302348118515
MCF7,2.0,control,7,3,0.0,1,,0.19648552,0.9764627,False,0.060432550291122614
MCF7,2.0,control,8,3,0.0,1,0.1909432262182235,0.86801845,0.96458673,False,0.17099980441841994
