Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A133,0,1,80.0,2.12,0.15493665635585785,0.16284160315990448
MCF7,2.0,A133,0,1,80.0,2.13,0.16995462775230408,0.18737907707691193
MCF7,2.0,A133,0,1,80.0,2.14,0.17415069043636322,0.16069643199443817
MCF7,2.0,A133,0,1,80.0,2.15,0.15894770622253418,0.15934330224990845
MCF7,2.0,A133,0,1,80.0,2.16,0.1743217408657074,0.17807431519031525
MCF7,2.0,A133,0,1,80.0,2.17,0.15681031346321106,0.1459854394197464
MCF7,2.0,A133,0,1,80.0,2.18,0.17014232277870178,0.16425606608390808
MCF7,2.0,A133,0,1,80.0,2.19,0.1765974909067154,0.16434048116207123
MCF7,2.0,A133,0,1,80.0,2.2,0.17982366681098938,0.18803662061691284
MCF7,2.0,A133,0,1,80.0,2.21,0.17381463944911957,0.1620204746723175
MCF7,2.0,A133,0,1,80.0,2.22,0.17396926879882812,0.17081838846206665
MCF7,2.0,A133,0,1,80.0,2.23,0.16276638209819794,0.16645213961601257
MCF7,2.0,A133,0,1,80.0,2.24,0.17483119666576385,0.1786143183708191
MCF7,2.0,A133,0,1,80.0,2.25,0.1810952126979828,0.17027683556079865
MCF7,2.0,A133,0,1,80.0,2.26,0.18212714791297913,0.17892788350582123
MCF7,2.0,A133,0,1,80.0,2.27,0.1715225875377655,0.1733451634645462
MCF7,2.0,A133,0,1,80.0,2.28,0.15364348888397217,0.16447216272354126
MCF7,2.0,A133,0,1,80.0,2.29,0.17482918500900269,0.17354729771614075
MCF7,2.0,A133,0,1,80.0,2.3,0.1827961653470993,0.18002423644065857
MCF7,2.0,A133,0,1,80.0,2.31,,
MCF7,2.0,A133,0,1,80.0,2.32,0.16743016242980957,0.16610799729824066
MCF7,2.0,A133,0,1,80.0,2.33,0.19616816937923431,0.17773942649364471
MCF7,2.0,A133,0,1,80.0,2.34,0.17189911007881165,0.17317716777324677
MCF7,2.0,A133,0,1,80.0,2.35,,
MCF7,2.0,A133,0,1,80.0,2.36,0.17908315360546112,0.17634616792201996
MCF7,2.0,A133,0,1,80.0,2.37,0.1859145611524582,0.19237571954727173
MCF7,2.0,A133,0,1,80.0,2.38,0.18456795811653137,0.18526247143745422
MCF7,2.0,A133,0,1,80.0,2.39,,
MCF7,2.0,A133,0,1,80.0,2.4,0.1839655190706253,0.18630334734916687
MCF7,2.0,A133,0,1,80.0,2.41,,
MCF7,2.0,A133,0,1,80.0,2.42,,
MCF7,2.0,A133,0,1,80.0,2.43,,
MCF7,2.0,A133,0,1,80.0,2.44,,
MCF7,2.0,A133,0,1,80.0,2.45,,
MCF7,2.0,A133,0,1,80.0,2.46,0.17245382070541382,0.18330198526382446
MCF7,2.0,A133,0,1,80.0,2.47,,
MCF7,2.0,A133,0,1,80.0,2.48,0.1942187398672104,0.19342145323753357
MCF7,2.0,A133,0,1,80.0,2.49,,
MCF7,2.0,A133,0,1,80.0,2.5,,
MCF7,2.0,A133,0,1,80.0,2.51,,
MCF7,2.0,A133,0,1,80.0,2.52,,
MCF7,2.0,A133,0,1,80.0,2.53,,
MCF7,2.0,A133,0,1,80.0,2.54,,
MCF7,2.0,A133,0,1,80.0,2.55,0.1883707195520401,0.17236162722110748
MCF7,2.0,A133,0,1,80.0,2.56,,
MCF7,2.0,A133,0,1,80.0,2.57,,
MCF7,2.0,A133,0,1,80.0,2.58,0.19633695483207703,0.19823814928531647
MCF7,2.0,A133,0,1,80.0,2.59,,
MCF7,2.0,A133,0,1,80.0,2.6,,
MCF7,2.0,A133,0,1,80.0,2.61,,
MCF7,2.0,A133,0,1,80.0,2.62,,
MCF7,2.0,A133,0,1,80.0,2.63,,
MCF7,2.0,A133,0,1,80.0,2.64,,
MCF7,2.0,A133,0,1,80.0,2.65,,
MCF7,2.0,A133,0,1,80.0,2.66,,
MCF7,2.0,A133,0,1,80.0,2.67,,
MCF7,2.0,A133,0,1,80.0,2.68,,
MCF7,2.0,A133,0,1,80.0,2.69,,
MCF7,2.0,A133,0,1,80.0,2.7,,
MCF7,2.0,A133,0,1,80.0,2.71,,
MCF7,2.0,A133,0,1,80.0,2.72,,
MCF7,2.0,A133,0,1,80.0,2.73,,
MCF7,2.0,A133,0,1,80.0,2.74,,
MCF7,2.0,A133,0,1,80.0,2.75,,
MCF7,2.0,A133,0,1,80.0,2.76,,
MCF7,2.0,A133,0,1,80.0,2.77,,
MCF7,2.0,A133,0,1,80.0,2.78,,
MCF7,2.0,A133,0,1,80.0,2.79,,
MCF7,2.0,A133,0,1,80.0,2.8,,
MCF7,2.0,A133,0,1,80.0,2.81,,
MCF7,2.0,A133,0,1,80.0,2.82,,
MCF7,2.0,A133,0,1,80.0,2.83,,
MCF7,2.0,A133,0,1,80.0,2.84,,
MCF7,2.0,A133,0,1,80.0,2.85,,
MCF7,2.0,A133,0,1,80.0,2.86,,
MCF7,2.0,A133,0,1,80.0,2.87,,
MCF7,2.0,A133,0,1,80.0,2.88,,
MCF7,2.0,A133,0,1,80.0,2.89,,
MCF7,2.0,A133,0,1,80.0,2.9,,
MCF7,2.0,A133,0,1,80.0,2.91,,
MCF7,2.0,A133,0,1,80.0,2.92,,
MCF7,2.0,A133,0,1,80.0,2.93,,
MCF7,2.0,A133,0,1,80.0,2.94,,
MCF7,2.0,A133,0,1,80.0,2.95,,
MCF7,2.0,A133,0,1,80.0,2.96,,
MCF7,2.0,A133,0,1,80.0,2.97,,
MCF7,2.0,A133,0,1,80.0,2.98,,
MCF7,2.0,A133,0,1,80.0,2.99,,
MCF7,2.0,A133,0,1,80.0,3.0,,
MCF7,2.0,A133,0,1,80.0,3.01,,
MCF7,2.0,A133,0,1,80.0,3.02,,
MCF7,2.0,A133,0,1,80.0,3.03,,
MCF7,2.0,A133,0,1,80.0,3.04,,
MCF7,2.0,A133,0,1,80.0,3.05,,
MCF7,2.0,A133,0,1,80.0,3.06,,
MCF7,2.0,A133,0,1,80.0,3.07,,
MCF7,2.0,A133,0,1,80.0,3.08,,
MCF7,2.0,A133,0,1,80.0,3.09,,
MCF7,2.0,A133,0,1,80.0,3.1,,
MCF7,2.0,A133,0,1,80.0,3.11,,
MCF7,2.0,A133,0,1,80.0,3.12,,
MCF7,2.0,A133,0,1,80.0,3.13,,
MCF7,2.0,A133,0,1,80.0,3.14,,
MCF7,2.0,A133,0,1,80.0,3.15,,
