Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
H1975,2.0,AFA,6,1,10.0,1,0.032138947397470474,0.0003634446475189179,0.03363107144832611,0.0003301365941297263,0.027207020670175552,0.0003509557282086462,0.1018480733036995,0.0,0.04196387529373169,0.05273726209998131,0.4916081726551056,1.245213,1.2290008,1763.0,80188.0,81951.0,0.25046495,0.22815832495689392,-0.34026927,0.9521839022636414,0.83897924,0.21187815,0.6012009,0.0,0.010791605,0.10946142673492432,0.23079106211662292,0.026138553395867348,0.0009726269054226577,0.21412984,0.6012009,0.0,0.010771799
H1975,2.0,AFA,6,1,10.0,2,0.052331309765577316,0.001072695362381637,0.05586836487054825,0.0009475889964960515,0.042310867458581924,0.0004995384952053428,0.09987514466047287,0.0,0.060800451785326004,0.07226704806089401,0.7350047826766968,1.0241368,1.0184863,434.0,21773.0,22207.0,0.66781926,-0.4364456534385681,0.62002885,0.9365984201431274,0.94243675,0.28585124,0.5994056,0.0,0.0062303008,0.2323460429906845,0.41646045446395874,0.1131240501999855,0.004720437340438366,0.28691772,0.5994056,0.0,0.006202197
H1975,2.0,AFA,6,1,10.0,3,0.20173868536949158,0.005211355164647102,0.20229804515838623,0.00511265080422163,0.09766489267349243,0.0006028967909514904,0.18379071354866028,0.031127309426665306,0.11723615974187851,0.1300806850194931,0.8247945308685303,2.1519146,2.140961,400.0,48063.0,48463.0,0.94718176,0.14956587553024292,0.41745487,0.9939701557159424,0.8996349,3.1777058,8.3145485,0.0,0.8730439,1.4574127197265625,1.8819674253463745,1.1247745752334595,0.018826313316822052,3.1920218,8.3145485,0.0,0.855319
H1975,2.0,AFA,7,1,10.0,1,0.12696672976016998,0.002106286818161607,0.12697014212608337,0.0021059121936559677,0.08002966642379761,7.184979040175676e-05,0.10896740108728409,0.056210968643426895,0.08668118715286255,0.0908859372138977,0.8046572804450989,1.7569656,1.7416973,600.0,36823.0,37423.0,0.9991127,0.4235863983631134,0.7111756,0.9990947842597961,0.9061194,2.3243642,6.1432176,1.0839267,0.76337105,1.1884387731552124,1.346030354499817,1.089750051498413,0.001764732995070517,2.3428729,6.1432176,1.0839267,0.7544136
H1975,2.0,AFA,7,1,10.0,2,0.14104485511779785,0.0030124278273433447,0.1415441334247589,0.002952421549707651,0.07519495487213135,0.00013971480075269938,0.10278051346540451,0.047495439648628235,0.08493630588054657,0.09080293774604797,0.6098610162734985,2.2866743,2.2779117,200.0,38071.0,38271.0,0.45327744,-0.1535656601190567,-0.31137657,0.9954240918159485,0.79133034,1.6673878,3.8246505,0.27237406,0.49367326,0.7609225511550903,0.9534648060798645,0.6403588056564331,0.0030710636638104916,1.6721497,3.8246505,0.27237406,0.4919114
H1975,2.0,AFA,8,1,10.0,1,0.23004817962646484,0.00487073278054595,0.23004817962646484,0.00487073278054595,0.10735408216714859,0.0005514629883691669,0.18759684264659882,0.03640252724289894,0.1258099526166916,0.1377076953649521,0.3274855315685272,1.4791604,1.4686563,597.0,64858.0,65455.0,0.6021049,0.432522714138031,0.2655996,0.9608229994773865,0.8881196,3.8841429,7.325049,0.77721363,1.4004406,1.5647221803665161,2.489105463027954,0.9032849073410034,0.0887775868177414,3.9054923,7.325049,0.77721363,1.3625401
H1975,2.0,AFA,8,1,10.0,2,0.3082679212093353,0.04024340212345123,0.4124576449394226,0.01087118685245514,0.2501460313796997,0.0017202236922457814,0.3778633773326874,0.11462290585041046,0.2827652096748352,0.30205076932907104,0.5969420671463013,1.2238191,1.2209153,517.0,111098.0,111615.0,0.6316649,0.6323835253715515,0.7160086,0.9785017371177673,0.9299128,2.943293,7.997256,0.0,3.619487,1.9903703927993774,2.4945425987243652,1.1224546432495117,0.10450229793787003,2.9477277,7.997256,0.0,3.6315982
H1975,2.0,AFA,8,1,10.0,3,0.06443308293819427,0.0025981012731790543,0.07461127638816833,0.0022491030395030975,0.05152498185634613,0.001372991013340652,0.19232577085494995,0.0,0.08157313615083694,0.10101263970136642,0.9716534614562988,1.3455204,1.3419387,861.0,89010.0,89871.0,0.6383135,-0.5488978028297424,0.21078813,0.9404947757720947,0.90203035,0.80481195,3.706941,0.0,0.19358133,0.5895795226097107,1.058493733406067,0.13938231766223907,0.04118548333644867,0.80689394,3.706941,0.0,0.19460301
H1975,2.0,AFA,9,1,10.0,1,0.2627710998058319,0.01153686735779047,0.2812023460865021,0.00716317119076848,0.23686106503009796,0.003427978605031967,0.3551296591758728,0.11629994958639145,0.2871517241001129,0.3123248517513275,0.8118597865104675,0.9249582,0.9240618,315.0,39428.0,39743.0,0.40128744,-0.8851503133773804,0.4754976,0.8265171051025391,0.8685301,1.7725006,5.709705,0.0,0.67602736,1.432758092880249,2.4891223907470703,0.4128553867340088,0.4285564124584198,1.7752148,5.709705,0.0,0.67707485
H1975,2.0,AFA,9,1,10.0,2,0.19685330986976624,0.005633218679577112,0.19686667621135712,0.005630970001220703,0.13236966729164124,0.0002852654142770916,0.19112946093082428,0.07708113640546799,0.14560729265213013,0.15398281812667847,0.7947415113449097,2.1911597,2.16588,800.0,43391.0,44191.0,0.8052394,-0.28375834226608276,0.41463363,0.9897327423095703,0.85777944,0.9478149,4.0649548,0.0,0.44194934,0.3968467712402344,0.5726722478866577,0.2650587856769562,0.002549356548115611,0.95797306,4.0649548,0.0,0.44435048
