current_Metadata_concentration,ObjectNumber,Metadata_treatment,Metadata_site,Metadata_hour,Metadata_dish,Metadata_cell,Ed_cell_variance,Ed_cell_mean_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Ed_agg_min_value,Ed_agg_mean_value,Ed_agg_max_value,E_value
20.0,1,osimertinib,10,6.0,3.0,H1975,0.0209585614502429,0.0557109601795673,0.3970414996147156,0.442326545715332,0.0938423871994018,0.3106739521026611,0.5514422655105591,2.353252051913781
20.0,2,osimertinib,10,6.0,3.0,H1975,0.0575089678168296,0.2202196419239044,0.453476995229721,0.5147373080253601,0.0228999406099319,0.3306961059570312,0.6385230422019958,2.9845127673572365
20.0,1,osimertinib,11,6.0,3.0,H1975,0.0016581701347604,0.0751005932688713,0.0597299896180629,0.0696244984865188,0.0004142488760408,0.0432433225214481,0.1062323898077011,-0.8958804454569634
20.0,2,osimertinib,11,6.0,3.0,H1975,0.0026653532404452,0.0519360639154911,0.0799987837672233,0.1030574887990951,0.0021332632750272,0.0545962192118167,0.1732080727815628,-0.6044191666242696
20.0,1,osimertinib,12,6.0,3.0,H1975,0.0023104562424123,0.0377375409007072,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,2,osimertinib,12,6.0,3.0,H1975,0.0024548815563321,0.0373112112283706,0.0379871279001235,0.0467781387269496,0.0013950875727459,0.0258721578866243,0.0684022977948188,-1.0950498637453125
20.0,1,osimertinib,13,6.0,3.0,H1975,0.0066772387363016,0.1306672543287277,0.1089212372899055,0.1279257535934448,0.0011120613198727,0.0799450054764747,0.1952670961618423,-0.38762323567265716
20.0,1,osimertinib,14,6.0,3.0,H1975,0.0088911838829517,0.1245057284832,0.0723954513669014,0.0881769731640815,0.0089708277955651,0.0533519349992275,0.1177893504500389,-0.7341441501247583
20.0,1,osimertinib,15,6.0,3.0,H1975,0.0024663018994033,0.0559788160026073,0.0379328206181526,0.0460413880646228,0.0001476133766118,0.0261360108852386,0.0702915489673614,-1.1014726900679055
20.0,1,osimertinib,16,6.0,3.0,H1975,0.001507947104983,0.01652661152184,0.0368971973657608,0.0469184182584285,0.002317436505109,0.0219595152884721,0.0574199482798576,-1.0938269383875558
20.0,2,osimertinib,16,6.0,3.0,H1975,4.582224391924683e-06,3.668449426186271e-05,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,3,osimertinib,16,6.0,3.0,H1975,0.0018235854804515,0.006078909151256,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,4,osimertinib,16,6.0,3.0,H1975,0.00144959311001,0.0020561076235026,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,5,osimertinib,16,6.0,3.0,H1975,5.369866994442418e-05,0.0002055192599073,0.2171162813901901,0.2171162813901901,0.2171162813901901,0.2171162813901901,0.2171162813901901,0.3899196956763134
