Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
A549,4.0,alm,21,2,5.66,4,695.8414408866995,390.9884259259259,1.7796983100940411
A549,4.0,alm,22,2,5.66,1,2214.8530874921034,1387.6238376251788,1.5961480535551116
A549,4.0,alm,22,2,5.66,2,1740.225891933816,2035.2010869565217,0.8550633660166637
A549,4.0,alm,22,2,5.66,3,8199.969791666666,9751.346853490659,0.8409063809202263
A549,4.0,alm,22,2,5.66,4,975.2161159811194,919.0265486725664,1.061140309156153
A549,4.0,alm,22,2,5.66,5,9114.885347031066,12951.446794181034,0.703773523675077
A549,4.0,alm,22,2,5.66,6,14250.271682597695,27207.93470790378,0.5237542590271674
A549,4.0,alm,22,2,5.66,7,458.5901162790698,438.80974616858236,1.0450773262973247
A549,4.0,alm,23,2,5.66,1,500.02198254048585,586.6174342105263,0.8523817284997995
A549,4.0,alm,23,2,5.66,2,283.9399609148813,271.9718103448276,1.0440051141876783
A549,4.0,alm,23,2,5.66,3,592.5832485123708,1007.0158492822967,0.5884547387558068
A549,4.0,alm,23,2,5.66,4,313.8010144927536,329.4566592261905,0.952480411929727
A549,4.0,alm,23,2,5.66,5,456.20479845750873,596.9592465753425,0.7642143095607966
A549,4.0,alm,23,2,5.66,6,481.8806728336496,508.99650974025974,0.9467268706411223
A549,4.0,alm,23,2,5.66,7,358.7134839058696,341.7766293774319,1.049555332555328
A549,4.0,alm,24,2,5.66,1,434.4912474507138,579.9197674418605,0.749226482427629
A549,4.0,alm,24,2,5.66,2,1725.085026275314,2058.8851466575716,0.8378733651441634
A549,4.0,alm,24,2,5.66,3,704.3394932432433,1081.5838541666667,0.6512111756567587
A549,4.0,alm,24,2,5.66,4,391.3702916351726,397.8470700985761,0.9837204319192328
A549,4.0,alm,24,2,5.66,5,1607.3199203993524,3699.476177130045,0.4344722991691944
A549,4.0,alm,24,2,5.66,6,400.4608933999132,445.82870762711866,0.8982393608776981
A549,4.0,alm,24,2,5.66,7,545.025298013245,684.3088599752168,0.7964609694414652
A549,4.0,alm,24,2,5.66,8,1630.1805919139035,2224.6264963167587,0.7327884454369937
A549,4.0,alm,25,2,5.66,1,2785.057903663501,4355.887190934066,0.6393778767870891
A549,4.0,alm,25,2,5.66,2,2499.1555278361343,4254.060397039031,0.5874753281771999
A549,4.0,alm,25,2,5.66,3,27901.357490614733,33689.819010416664,0.8281836563736903
