ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,10,20,4,VIN,0.6511193924758458,False,0.3411031250720442,0.2494273036718368,1.4033572673797607,0.7890064120292664,0.67129356,VIN,0.2399402425731495,0.0198714953800982,0.0198714953800982,0.0,0.0,0.21099358797073364,0.10549679398536682
2,10,20,4,VIN,0.7432379022389887,True,0.433221634835187,0.267815500497818,4.986076831817627,0.6162417531013489,0.5060573,VIN,0.3422708080741247,0.0283463611958046,0.0283463611958046,0.028511461351887757,0.3523758211796376,0.3837582468986511,0.36806703403914437
1,11,20,4,VIN,0.7286236850481927,False,0.4186074176443911,0.1845138967037201,1.3737798929214478,0.9392491579055786,0.80916876,VIN,0.2378098775732232,0.0196950617072805,0.0196950617072805,0.008816486798698486,0.0,0.06075084209442139,0.030375421047210693
2,11,20,4,VIN,0.5535775596508807,True,0.2435612922470791,0.334877610206604,3.1844050884246826,0.3357505202293396,0.2995304,control,0.3386128559081717,0.0,0.0,0.38058313226575385,0.3279559247828109,0.6642494797706604,0.49610270227673564
3,11,20,4,VIN,0.8262383638986408,False,0.5162220964948392,0.1765037924051284,1.4194138050079346,0.3786470293998718,0.7496826,VIN,0.2410749309144511,0.0199654685873028,0.0199654685873028,0.050869008212739965,0.0,0.6213529706001282,0.3106764853000641
4,11,20,4,VIN,0.7367481331373109,False,0.4267318657335093,0.2228696346282959,1.6234403848648071,0.8067277669906616,0.5931323,VIN,0.2542835852763101,0.0210593897708198,0.0210593897708198,0.0,0.0,0.19327223300933838,0.09663611650466919
5,11,20,4,VIN,0.7741163161263664,True,0.4641000487225648,0.2830711007118225,3.567401647567749,0.6106662154197693,0.495902,VIN,0.3209489689793809,0.0265805180736896,0.0265805180736896,0.10860236039252476,0.2100346756256469,0.3893337845802307,0.2996842301029388
6,11,20,4,VIN,0.6504772303927988,True,0.3404609629889972,0.4073299765586853,4.255954265594482,-0.3151052296161651,0.32491985,control,0.3602916770863814,0.0,0.0,0.7609532964912746,0.4726802249266565,0.6848947703838348,0.5787874976552456
1,12,20,4,VIN,0.6064866107645744,False,0.2964703433607728,0.190467819571495,0.8558461666107178,0.8305992484092712,0.89957356,VIN,0.1894989972313215,0.0156940261776531,0.0156940261776531,0.0,0.26750405255427906,0.16940075159072876,0.2184524020725039
2,12,20,4,VIN,0.5107037584560847,True,0.2006874910522831,0.2071840912103653,1.1038655042648315,0.920705020427704,0.7590447,VIN,0.215601297237759,0.0178557799894579,0.0178557799894579,0.0,0.09324932396352752,0.07929497957229603,0.08627215176791178
3,12,20,4,VIN,0.7964448196282381,False,0.4864285522244365,0.0878819301724433,0.949329435825348,0.793219804763794,0.6346836,VIN,0.2001174162007439,0.0165734279038163,0.0165734279038163,0.5161279636981817,0.19661720675435906,0.20678019523620605,0.20169870099528256
1,13,20,4,VIN,0.6133253211206414,False,0.3033090537168398,0.1273841559886932,1.1019808053970337,0.9343215823173524,0.7269575,VIN,0.2154261721235547,0.0178412763869753,0.0178412763869753,0.3087438729152178,0.09441843087125483,0.0656784176826476,0.08004842427695122
2,13,20,4,VIN,0.6737172141412271,True,0.3637009467374255,0.0692618936300277,0.5955144166946411,0.8112205266952515,0.66601145,VIN,0.1533715220539309,0.012702002212089,0.012702002212089,0.6138819324658336,0.508685227399128,0.18877947330474854,0.3487323503519383
3,13,20,4,VIN,0.480841325762216,False,0.1708250583584143,0.2777746915817261,1.9354891777038568,0.4756277799606323,0.4222857,VIN,0.2709339596989249,0.0224383491103105,0.0224383491103105,0.08079656036067448,0.0,0.5243722200393677,0.26218611001968384
4,13,20,4,VIN,0.584041847101374,False,0.2740255796975723,0.1449628323316574,0.6992518305778503,0.8701820373535156,0.81815267,VIN,0.1690943303217108,0.0140041418969737,0.0140041418969737,0.21645697679165882,0.40372230510068263,0.12981796264648438,0.2667701338735835
1,14,20,4,VIN,0.732276538218755,False,0.4222602708149534,0.2321169525384903,1.924117088317871,0.8089274168014526,0.6861116,VIN,0.2703895595907638,0.0223932626999683,0.0223932626999683,0.0,0.0,0.19107258319854736,0.09553629159927368
2,14,20,4,VIN,0.6908236563839907,False,0.380807388980189,0.241957426071167,2.148603916168213,0.639262318611145,0.6882183,VIN,0.2804087182417573,0.0232230345744591,0.0232230345744591,0.0,0.0,0.360737681388855,0.1803688406944275
3,14,20,4,VIN,0.6232172077543268,False,0.3132009403505251,0.2752094864845276,3.218234062194824,0.7757721543312073,0.76458746,VIN,0.3135018683613116,0.0259637602345707,0.0259637602345707,0.06732940209903822,0.16031903766770306,0.22422784566879272,0.1922734416682479
4,14,20,4,VIN,0.6615370312907587,False,0.3515207638869571,0.280197262763977,2.989957094192505,0.1425206065177917,0.5935348,VIN,0.3079285176018535,0.025502183582482,0.025502183582482,0.09351489993792046,0.12311225038493837,0.8574793934822083,0.4902958219335733
1,15,20,4,VIN,0.8135369904327507,False,0.5035207230289491,0.0877531766891479,0.5827422142028809,0.5769383907318115,0.50868356,VIN,0.1512932229169576,0.0125298805568972,0.0125298805568972,0.5168039110281516,0.522559615937853,0.4230616092681885,0.47281061260302076
